,PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,FROM_YEAR,TO_YEAR,PTS,REB,AST,STATS_TIMEFRAME
232,1628989,Huerter,Kevin,kevin-huerter,1610612758,kings,0,Sacramento,Kings,SAC,9,G-F,6-7,198,Maryland,USA,2018.0,1.0,19.0,1.0,2018,2024,10.2,3.5,2.6,Season
237,204060,Ingles,Joe,joe-ingles,1610612753,magic,0,Orlando,Magic,ORL,7,F-G,6-9,220,Maccabi Tel Aviv,Australia,,,,1.0,2014,2024,4.4,2.1,3.0,Season
245,202704,Jackson,Reggie,reggie-jackson,1610612743,nuggets,0,Denver,Nuggets,DEN,7,G,6-2,208,Boston College,USA,2011.0,1.0,24.0,1.0,2011,2024,10.2,1.9,3.8,Season
251,1631170,Jaquez Jr.,Jaime,jaime-jaquez-jr,1610612748,heat,0,Miami,Heat,MIA,11,G,6-6,225,UCLA,USA,2023.0,1.0,18.0,1.0,2023,2024,11.9,3.8,2.6,Season
266,1630529,Jones,Herbert,herbert-jones,1610612740,pelicans,0,New Orleans,Pelicans,NOP,5,F,6-7,206,Alabama,USA,2021.0,2.0,35.0,1.0,2021,2024,11.0,3.6,2.6,Season
268,1630200,Jones,Tre,tre-jones,1610612759,spurs,0,San Antonio,Spurs,SAS,33,G,6-1,185,Duke,USA,2020.0,2.0,41.0,1.0,2020,2024,10.0,3.8,6.2,Season
275,1628379,Kennard,Luke,luke-kennard,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,10,G,6-5,206,Duke,USA,2017.0,1.0,12.0,1.0,2017,2024,11.0,2.9,3.5,Season
284,1630249,Krejci,Vit,vit-krejci,1610612737,hawks,0,Atlanta,Hawks,ATL,27,G,6-8,195,Zaragoza,Czech Republic,2020.0,2.0,37.0,1.0,2021,2024,6.1,2.4,2.3,Season
308,200768,Lowry,Kyle,kyle-lowry,1610612755,sixers,0,Philadelphia,76ers,PHI,7,G,6-0,196,Villanova,USA,2006.0,1.0,24.0,1.0,2006,2024,8.1,3.2,4.2,Season
314,1630544,Mann,Tre,tre-mann,1610612766,hornets,0,Charlotte,Hornets,CHA,23,G,6-3,178,Florida,USA,2021.0,1.0,18.0,1.0,2021,2024,9.3,3.6,4.0,Season
